Time [s],Channel 6,Channel 7
4.243323375,0,1
4.243397813,1,0
4.243960062,0,0
4.259270750,0,1
4.259345125,1,0
4.259907187,0,0
4.275400250,0,1
4.275474687,1,0
4.276036625,0,0
4.291278000,0,1
4.291352438,1,0
4.291914438,0,0
4.307381500,0,1
4.307455938,1,0
4.308018125,0,0
4.323658688,0,1
4.323733125,1,0
4.324295250,0,0
4.339354187,0,1
4.339428625,1,0
4.339990688,0,0
4.355379688,0,1
4.355454062,1,0
4.356016188,0,0
4.371274750,0,1
4.371349188,1,0
4.371911063,0,0
4.387430437,0,1
4.387504875,1,0
4.388066938,0,0
4.403360250,0,1
4.403434687,1,0
4.403996500,0,0
4.419229563,0,1
4.419304000,1,0
4.419866063,0,0
4.435315563,0,1
4.435390000,1,0
4.435952063,0,0
4.451393125,0,1
4.451467563,1,0
4.452029500,0,0
4.467262250,0,1
4.467336688,1,0
4.467898750,0,0
4.483339875,0,1
4.483414312,1,0
4.483976375,0,0
4.499512687,0,1
4.499587125,1,0
4.500149313,0,0
4.515373188,0,1
4.515447625,1,0
4.516009500,0,0
4.531364062,0,1
4.531438500,1,0
4.532000688,0,0
4.547424000,0,1
4.547498438,1,0
4.548060438,0,0
4.563232313,0,1
4.563306750,1,0
4.563868875,0,0
4.579353375,0,1
4.579427813,1,0
4.579989938,0,0
4.595482875,0,1
4.595557313,1,0
4.596119500,0,0
4.611378063,0,1
4.611452500,1,0
4.612014625,0,0
4.627368813,0,1
4.627443250,1,0
4.628005375,0,0
4.643619812,0,1
4.643694250,1,0
4.644256375,0,0
4.659532438,0,1
4.659606875,1,0
4.660168875,0,0
4.675229188,0,1
4.675303625,1,0
4.675865688,0,0
4.691298063,0,1
4.691372500,1,0
4.691934500,0,0
4.707565250,0,1
4.707639625,1,0
4.708201687,0,0
4.723564500,0,1
4.723638938,1,0
4.724200938,0,0
4.739278875,0,1
4.739353313,1,0
4.739915563,0,0
4.755417062,0,1
4.755491437,1,0
4.756053562,0,0
4.771355625,0,1
4.771430063,1,0
4.771992188,0,0
4.787250813,0,1
4.787325188,1,0
4.787887375,0,0
4.803691500,0,1
4.803765938,1,0
4.804327875,0,0
4.819336313,0,1
4.819410688,1,0
4.819972813,0,0
4.835379063,0,1
4.835453500,1,0
4.836015563,0,0
4.851413313,0,1
4.851487750,1,0
4.852049813,0,0
4.867490625,0,1
4.867565000,1,0
4.868127063,0,0
4.884244063,0,1
4.884318500,1,0
4.884880500,0,0
4.899281063,0,1
4.899355500,1,0
4.899917437,0,0
4.915367188,0,1
4.915441625,1,0
4.916003688,0,0
4.931279688,0,1
4.931354125,1,0
4.931916188,0,0
4.947383250,0,1
4.947457688,1,0
4.948019750,0,0
4.963373938,0,1
4.963448375,1,0
4.964010312,0,0
4.979529750,0,1
4.979604187,1,0
4.980166375,0,0
4.995398687,0,1
4.995473125,1,0
4.996035188,0,0
5.011415438,0,1
5.011489875,1,0
5.012052000,0,0
5.027267313,0,1
5.027341750,1,0
5.027903813,0,0
5.043396750,0,1
5.043471188,1,0
5.044033250,0,0
5.059491625,0,1
5.059566063,1,0
5.060128125,0,0
5.075803562,0,1
5.075878000,1,0
5.076440063,0,0
5.091403500,0,1
5.091477938,1,0
5.092039875,0,0
5.107385687,0,1
5.107460125,1,0
5.108022187,0,0
5.123532500,0,1
5.123606938,1,0
5.124169063,0,0
5.139254000,0,1
5.139328438,1,0
5.139890438,0,0
5.155296812,0,1
5.155371250,1,0
5.155933313,0,0
5.171443813,0,1
5.171518250,1,0
5.172080125,0,0
5.187295563,0,1
5.187370000,1,0
5.187932125,0,0
5.203268937,0,1
5.203343313,1,0
5.203905438,0,0
5.219450438,0,1
5.219524875,1,0
5.220087000,0,0
5.235545312,0,1
5.235619750,1,0
5.236181812,0,0
5.251258312,0,1
5.251332750,1,0
5.251894688,0,0
5.267283813,0,1
5.267358250,1,0
5.267920563,0,0
5.283630250,0,1
5.283704625,1,0
5.284266750,0,0
5.299266313,0,1
5.299340750,1,0
5.299902750,0,0
5.315385875,0,1
5.315460250,1,1
5.315460312,1,0
5.316022250,0,0
5.331420063,0,1
5.331494500,1,0
5.332056563,0,0
5.347342563,0,1
5.347417000,1,0
5.347978938,0,0
5.363289875,0,1
5.363364313,1,0
5.363926500,0,0
5.379323938,0,1
5.379398375,1,0
5.379960438,0,0
5.395279938,0,1
5.395354313,1,0
5.395916563,0,0
5.411279188,0,1
5.411353625,1,0
5.411915750,0,0
5.427296000,0,1
5.427370438,1,0
5.427932563,0,0
5.443425375,0,1
5.443499812,1,0
5.444061875,0,0
5.459424813,0,1
5.459499250,1,0
5.460061188,0,0
5.475302625,0,1
5.475377063,1,0
5.475939125,0,0
5.491310750,0,1
5.491385188,1,0
5.491947250,0,0
5.507275313,0,1
5.507349750,1,0
5.507911688,0,0
5.523361563,0,1
5.523435938,1,0
5.523998063,0,0
5.539317438,0,1
5.539391875,1,0
5.539953938,0,0
5.555282063,0,1
5.555356500,1,0
5.555918500,0,0
5.571272813,0,1
5.571347250,1,0
5.571909250,0,0
5.587419688,0,1
5.587494125,1,0
5.588056313,0,0
5.603349750,0,1
5.603424188,1,0
5.603986125,0,0
5.619279688,0,1
5.619354125,1,0
5.619916250,0,0
5.635391813,0,1
5.635466250,1,0
5.636028500,0,0
5.651530000,0,1
5.651604438,1,0
5.652166500,0,0
5.667433875,0,1
5.667508250,1,0
5.668070125,0,0
5.683407313,0,1
5.683481750,1,0
5.684043938,0,0
5.699484688,0,1
5.699559125,1,0
5.700121188,0,0
5.715345125,0,1
5.715419563,1,0
5.715981500,0,0
5.731292438,0,1
5.731366812,1,0
5.731928750,0,0
5.747448063,0,1
5.747522500,1,0
5.748084562,0,0
5.763282563,0,1
5.763356937,1,0
5.763919125,0,0
5.779325375,0,1
5.779399813,1,0
5.779961938,0,0
5.795454875,0,1
5.795529313,1,0
5.796091500,0,0
5.811315375,0,1
5.811389750,1,0
5.811951750,0,0
5.827271250,0,1
5.827345750,1,0
5.827907750,0,0
5.843383438,0,1
5.843457875,1,0
5.844019813,0,0
5.859322000,0,1
5.859396438,1,0
5.859958500,0,0
5.875278000,0,1
5.875352375,1,0
5.875914375,0,0
5.891650625,0,1
5.891725000,1,0
5.892287125,0,0
5.907337500,0,1
5.907411938,1,0
5.907974063,0,0
5.923310813,0,1
5.923385250,1,0
5.923947250,0,0
5.939310125,0,1
5.939384563,1,0
5.939946688,0,0
5.955344313,0,1
5.955418750,1,0
5.955980688,0,0
5.971543313,0,1
5.971617750,1,0
5.972179937,0,0
5.987560063,0,1
5.987634500,1,0
5.988196438,0,0
6.003326250,0,1
6.003400625,1,0
6.003962625,0,0
6.019463375,0,1
6.019537750,1,0
6.020099938,0,0
6.035281500,0,1
6.035355938,1,0
6.035917875,0,0
6.051289688,0,1
6.051364125,1,0
6.051926188,0,0
6.067427750,0,1
6.067502188,1,0
6.068064312,0,0
6.083781813,0,1
6.083856250,1,0
6.084418313,0,0
6.099624937,0,1
6.099699375,1,0
6.100261375,0,0
6.115287000,0,1
6.115361438,1,0
6.115923375,0,0
6.131477375,0,1
6.131551813,1,0
6.132113875,0,0
6.147407313,0,1
6.147481750,1,0
6.148043812,0,0
6.163250313,0,1
6.163324750,1,0
6.163886938,0,0
6.179466875,0,1
6.179541313,1,0
6.180103375,0,0
6.195535625,0,1
6.195610063,1,0
6.196172125,0,0
6.211526313,0,1
6.211600750,1,0
6.212162812,0,0
6.227586438,0,1
6.227660875,1,0
6.228223188,0,0
6.243290688,0,1
6.243365125,1,0
6.243927188,0,0
6.259411563,0,1
6.259486000,1,0
6.260048063,0,0
6.275462938,0,1
6.275537438,1,0
6.276099625,0,0
6.291297375,0,1
6.291371813,1,0
6.291933875,0,0
6.307305375,0,1
6.307379813,1,0
6.307941875,0,0
6.323573937,0,1
6.323648375,1,0
6.324210375,0,0
6.339356188,0,1
6.339430625,1,0
6.339992625,0,0
6.355268750,0,1
6.355343187,1,0
6.355905250,0,0
6.371294313,0,1
6.371368750,1,0
6.371930813,0,0
6.387397625,0,1
6.387472063,1,0
6.388034125,0,0
6.403631500,0,1
6.403705875,1,1
6.403705937,1,0
6.404267938,0,0
6.419682938,0,1
6.419757375,1,0
6.420319375,0,0
6.435352375,0,1
6.435426813,1,0
6.435989125,0,0
6.451264938,0,1
6.451339375,1,0
6.451901500,0,0
6.467273063,0,1
6.467347437,1,0
6.467909563,0,0
6.483367875,0,1
6.483442313,1,0
6.484004375,0,0
6.499358500,0,1
6.499432938,1,0
6.499995000,0,0
6.515384062,0,1
6.515458500,1,0
6.516020687,0,0
6.531279187,0,1
6.531353625,1,0
6.531915813,0,0
6.547634250,0,1
6.547708688,1,0
6.548270875,0,0
6.563408000,0,1
6.563482438,1,0
6.564044437,0,0
6.579424750,0,1
6.579499188,1,0
6.580061250,0,0
6.595719312,0,1
6.595793750,1,0
6.596355563,0,0
6.611926938,0,1
6.612001375,1,0
6.612563312,0,0
6.627396812,0,1
6.627471250,1,0
6.628033250,0,0
6.643569813,0,1
6.643644250,1,0
6.644206313,0,0
6.659612562,0,1
6.659687000,1,0
6.660249188,0,0
6.675292000,0,1
6.675366438,1,0
6.675928625,0,0
6.691378125,0,1
6.691452563,1,0
6.692014562,0,0
6.707412187,0,1
6.707486625,1,0
6.708048563,0,0
6.723394188,0,1
6.723468625,1,0
6.724030563,0,0
6.739289563,0,1
6.739364000,1,0
6.739926063,0,0
6.755488375,0,1
6.755562812,1,0
6.756124875,0,0
6.771288188,0,1
6.771362625,1,0
6.771924750,0,0
6.787487250,0,1
6.787561688,1,0
6.788123750,0,0
6.803512438,0,1
6.803586875,1,0
6.804148875,0,0
6.819364375,0,1
6.819438812,1,0
6.820000875,0,0
6.835441750,0,1
6.835516188,1,0
6.836078313,0,0
6.851397750,0,1
6.851472188,1,0
6.852034250,0,0
6.867414500,0,1
6.867488937,1,0
6.868051062,0,0
6.883361813,0,1
6.883436188,1,0
6.883998313,0,0
6.899265625,0,1
6.899340063,1,0
6.899902125,0,0
6.915525375,0,1
6.915599813,1,0
6.916161813,0,0
6.931568063,0,1
6.931642500,1,0
6.932204500,0,0
6.947315750,0,1
6.947390125,1,0
6.947952125,0,0
6.963462688,0,1
6.963537125,1,0
6.964099125,0,0
6.979601063,0,1
6.979675437,1,0
6.980237375,0,0
6.995314000,0,1
6.995388438,1,0
6.995950438,0,0
7.011321938,0,1
7.011396375,1,0
7.011958375,0,0
7.027390813,0,1
7.027465250,1,0
7.028027312,0,0
7.043346750,0,1
7.043421188,1,0
7.043983500,0,0
7.059406875,0,1
7.059481312,1,0
7.060043563,0,0
7.075458313,0,1
7.075532750,1,0
7.076094750,0,0
7.091318750,0,1
7.091393188,1,0
7.091955313,0,0
7.107639375,0,1
7.107713813,1,0
7.108276125,0,0
7.123473813,0,1
7.123548250,1,0
7.124110313,0,0
7.139447000,0,1
7.139521438,1,0
7.140083500,0,0
7.155307500,0,1
7.155381875,1,0
7.155943938,0,0
7.171367625,0,1
7.171442000,1,0
7.172004062,0,0
7.187375688,0,1
7.187450125,1,0
7.188012250,0,0
7.203262250,0,1
7.203336688,1,0
7.203898750,0,0
7.219443938,0,1
7.219518375,1,0
7.220080438,0,0
7.235495313,0,1
7.235569750,1,0
7.236131813,0,0
7.251494687,0,1
7.251569125,1,0
7.252131125,0,0
7.267355125,0,1
7.267429500,1,0
7.267991500,0,0
7.283502125,0,1
7.283576563,1,0
7.284138688,0,0
7.299735750,0,1
7.299810188,1,0
7.300372438,0,0
7.315380563,0,1
7.315455000,1,0
7.316017125,0,0
7.331569563,0,1
